Asset_ID,Device_Type,Asset_Make,Model_Details,Purchase Date,Maintanence Period,Maintanence Date(Last),Crticality,WARR END DT,Vendor Details 
SF109,Softwares,AUTO CAD,LT LATEST 2025,27-06-2024,12 months,27-05-2026,High,16-07-2027,"GREEN CAD IT CONSULTING PVT. LTD. ,NOIDA UP"
SF110,Softwares,ADOBE ,Acrobat Pro For Teams,19-06-2025,12 months,19-05-2026,Medium,27-06-2026,Advance Infosolution PVT LTD
PR101,Projector,BANQ,MS506P,22-01-2016,6 months,12-01-2026,High,,"RAJAT SALES KHARGONE, 07282233299"
PR102,Projector,ACER,X1183G,29-07-2017,6 months,25-02-2026,High,,"MAHAKAAL COMPUTER KHARGONE, 07282234682"
PR103,Projector,HITACHI,CP-EW4051,26-03-2020,12 months,15-03-2026,Medium,23-04-2022,"DIGITECH MEDIA PRODUCTS PVT. LTD, MK Jha 8510024373"
PR104,Projector,EPSON,H986C,30-12-2022,12 months,20-04-2026,Medium,,DIGITECH MEDIA PRODUCTS PVT. LTD (SME Vendor - 1171539)
PR105,Projector,SONY,WUXGAVPL-CH375,02-11-2017,12 months,05-05-2024,Medium,,Unicom Infotel Pvt.Ltd. Arpit Neema 9111191561
PR106,Projector,LG,BF50NST-GL,14-05-2024,12 months,18-05-2026,Low,22-05-2027,ADEX DIGITAL SOLUTION PRIVATE LIMITED NEW DELHI
PR107,Projector,EDI,YO526U,31-01-2025,12 months,01-06-2026,Low,07-11-2028,Professional Display Systems - 09873924373
FC101,Fixed Camera,HiKVISION,DS2CD4B25G0,31-05-2020,12 months,15-03-2026,High,15-01-2027,"ASCENT NETWORKS PVT. LTD, 02240400000"
FC102,Fixed Camera,ADONISAVHELIOS,4K-R Ai Cam,03-06-2023,12 months,20-04-2026,Critical,02-07-2026,"IDENTITE, 201 Flexi Business Hub, Near Stadium Cross Road Navarangpura Ahamdabad Gujrat 380009"
FC103,Fixed Camera,ADONISAV,Cadmus Lite 12X ,03-10-2023,12 months,05-05-2026,High,02-10-2026,"Identite Ahmedabad Gujrat , ops@identite.in, Krishna Lad - 8000423421"
FC104,Fixed Camera,WATCHDOG,WDB20MIPVF,09-03-2022,12 months,12-03-2026,High,21-02-2024,"Maheshwari Computer Pvt.Ltd. indore, (9827021120, director@maheshwaricomputer.com)"
FC105,Fixed Camera,CP PLUS,CP-UNC-VB1L3-MDS,05-10-2023,12 months,18-04-2026,Critical,20-11-2026,Interactive Data System Ltd. 04027892367
FC106,Fixed Camera,CP PLUS,CP-UNC-TA21PL3-V3,27-04-2023,12 months,25-04-2026,Critical,30-04-2024,"Manyata Computer Sales & Service Bediya, 8120645163"
FC107,Fixed Camera,ADONISAV,HELIOS-PRO/2K,25-04-2024,12 months,10-05-2026,High,28-04-2025,"IDENTITE, 201 Flexi Business Hub, Near Stadium Cross Road Navarangpura Ahamdabad Gujrat 380009"
FC108,Fixed Camera,INDINATUS,IN-IPC2N34P-I3M,15-07-2024,12 months,15-05-2026,High,15-09-2027,Interactive Data Systems Limited
FC109,Fixed Camera,WATCHDOG,WDB20MIP13A,30-04-2024,12 months,20-05-2026,High,02-08-2030,"Score Information Technologies limited Kolkata,Shyam, Mob.- 9354394720"
FC110,Fixed Camera,ADONISAV,Helios 4K - 5x VTV V.1,03-01-2025,12 months,25-05-2026,Critical,15-01-2026,"DENTITE, 201 Flexi Business Hub, Near Stadium Cross Road Navarangpura Ahamdabad Gujrat 380009"
FC111,Fixed Camera,INDINATUS,IN-IPC2A25P-I10Z(M)SD,30-09-2025,12 months,01-06-2026,Medium,31-12-2028,Interactive Data System Ltd. 04027892367
FC112,Fixed Camera,INDINATUS,IN-IPC2A22P-I5(M)SD,30-09-2025,12 months,05-06-2026,Medium,31-12-2028,Interactive Data System Ltd. 04027892368
FC113,Fixed Camera,PRAMA,PT-NC343P1-I(D2E),02-06-2025,12 months,10-06-2026,Medium,29-10-2030,"Rajat Sales Corporation Khargone, 07282233299"
FC114,Fixed Camera,PRAMA,PT-NC356P6-IZSCKV(D2T),02-06-2025,12 months,15-06-2026,Medium,29-10-2030,"Rajat Sales Corporation Khargone, 07282233299"
